"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","PTS VS.","SACK","SAFE","INT","FUMR","DEF TD","BLK KICK","RET TD"
"1",1,"Denver Broncos",DEN,"179","0","63","2","15","9","5","0","0"
"2",1,"Philadelphia Eagles",PHI,"135","0","41","0","13","13","1","0","0"
"3",1,"Baltimore Ravens",BAL,"120","0","54","0","12","5","2","0","0"
"4",1,"Pittsburgh Steelers",PIT,"146","0","40","0","17","16","1","0","0"
"5",2,"Minnesota Vikings",MIN,"162","0","49","0","24","9","3","0","0"
"6",2,"Houston Texans",HOU,"139","0","49","1","19","9","3","0","0"
"7",2,"Buffalo Bills",BUF,"133","0","39","1","16","16","3","0","0"
"8",3,"Kansas City Chiefs",KC,"106","0","39","0","13","7","1","0","0"
"9",3,"Detroit Lions",DET,"123","0","37","0","16","8","1","0","0"
"10",3,"Los Angeles Chargers",LAC,"128","0","46","0","15","6","1","0","0"
"11",3,"Los Angeles Rams",LAR,"118","0","38","1","13","7","3","0","0"
"12",3,"Seattle Seahawks",SEA,"136","0","45","1","13","5","4","0","0"
"13",3,"Green Bay Packers",GB,"148","0","45","0","17","14","1","0","0"
"14",3,"San Francisco 49ers",SF,"84","0","37","0","11","6","1","0","0"
"15",4,"New York Jets",NYJ,"95","0","43","0","7","10","0","0","0"
"16",4,"Dallas Cowboys",DAL,"111","0","52","0","13","9","1","0","0"
"17",4,"Tampa Bay Buccaneers",TB,"104","0","46","1","7","11","1","0","0"
"18",4,"Arizona Cardinals",ARI,"101","0","41","2","9","8","0","0","0"
"19",4,"New England Patriots",NE,"63","0","28","0","7","5","1","0","0"
"20",4,"Cleveland Browns",CLE,"81","0","41","1","4","8","1","0","0"
"21",4,"Chicago Bears",CHI,"121","0","40","0","11","13","1","0","0"
"22",4,"New York Giants",NYG,"91","0","45","0","5","10","0","0","0"
"23",5,"Washington Commanders",WAS,"90","0","43","0","7","10","1","0","0"
"24",5,"Miami Dolphins",MIA,"84","0","35","0","10","6","0","0","0"
"25",5,"Atlanta Falcons",ATL,"97","0","31","1","12","6","4","0","0"
"26",5,"Indianapolis Colts",IND,"91","0","36","0","16","9","1","0","0"
"27",5,"Cincinnati Bengals",CIN,"104","0","36","1","15","10","2","0","0"
"28",5,"New Orleans Saints",NO,"98","0","39","1","14","3","0","0","0"
"29",5,"Jacksonville Jaguars",JAC,"71","0","34","0","6","3","1","0","0"
"30",5,"Las Vegas Raiders",LV,"71","0","38","0","10","3","1","0","0"
"31",5,"Tennessee Titans",TEN,"72","0","32","2","11","6","0","0","0"
"32",5,"Carolina Panthers",CAR,"41","0","32","0","9","8","0","0","0"
