"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"1",1,"Josh Allen",BUF,"385","307","483","64%","3731","28","6","102","531","12","14"
"2",1,"Lamar Jackson",BAL,"434.4","316","474","67%","4172","41","4","139","915","4","23"
"3",1,"Jayden Daniels",WAS,"364.8","331","480","69%","3568","25","9","148","891","6","47"
"4",1,"Jalen Hurts",PHI,"320.1","248","361","69%","2903","18","5","150","630","14","38"
"5",2,"Joe Burrow",CIN,"381.8","460","652","71%","4918","43","9","42","201","2","48"
"6",2,"Patrick Mahomes II",KC,"293.5","392","581","67%","3928","26","11","58","307","2","36"
"7",2,"Baker Mayfield",TB,"381.8","407","570","71%","4500","41","16","60","378","3","40"
"8",3,"Bo Nix",DEN,"328.7","376","567","66%","3775","29","12","92","430","4","24"
"9",3,"Kyler Murray",ARI,"308.2","372","541","69%","3851","21","11","78","572","5","30"
"10",3,"Brock Purdy",SF,"278.9","300","455","66%","3864","20","12","66","323","5","31"
"11",3,"Justin Fields",NYJ,"120.1","106","161","66%","1106","5","1","62","289","5","16"
"12",3,"Dak Prescott",DAL,"124.5","185","286","65%","1978","11","8","13","54","1","21"
"13",3,"Justin Herbert",LAC,"288.4","332","504","66%","3870","23","3","69","306","2","41"
"14",3,"Caleb Williams",CHI,"260.5","351","562","62%","3541","20","6","81","489","0","68"
"15",4,"Jared Goff",DET,"336","390","539","72%","4629","37","12","35","56","0","31"
"16",4,"Drake Maye",NE,"187.1","225","338","67%","2276","15","10","54","421","2","34"
"17",4,"Jordan Love",GB,"244.9","268","425","63%","3389","25","11","25","83","1","14"
"18",4,"Trevor Lawrence",JAC,"152.2","172","284","61%","2045","11","7","26","119","3","18"
"19",4,"C.J. Stroud",HOU,"232.4","336","532","63%","3727","20","12","52","233","0","52"
"20",4,"J.J. McCarthy",MIN,"0","0","0","0","0","0","0","0","0","0","0"
"21",4,"Tua Tagovailoa",MIA,"188.6","291","399","73%","2867","19","7","17","49","0","21"
"22",5,"Matthew Stafford",LAR,"222.6","340","517","66%","3762","20","8","30","41","0","28"
"23",5,"Michael Penix Jr.",ATL,"47.1","61","105","58%","775","3","3","7","11","1","4"
"24",5,"Bryce Young",CAR,"204","234","384","61%","2403","15","9","43","249","6","29"
"25",5,"Geno Smith",LV,"281","407","578","70%","4320","21","15","53","272","2","50"
"26",5,"Sam Darnold",SEA,"320","361","545","66%","4319","35","12","67","212","1","48"
"27",5,"Cameron Ward",TEN,"0","0","0","0","0","0","0","0","0","0","0"
"28",5,"Aaron Rodgers",PIT,"267.6","368","584","63%","3897","28","11","22","107","0","40"
"29",5,"Anthony Richardson Sr.",IND,"174.9","126","264","48%","1814","8","12","86","499","6","14"
"30",5,"Russell Wilson",NYG,"177.8","214","336","64%","2482","16","5","43","155","2","33"
"31",5,"Daniel Jones",IND,"142.3","216","341","63%","2070","8","7","67","265","2","29"
"32",5,"Joe Flacco",CLE,"106","162","248","65%","1761","12","7","9","26","0","18"
"33",5,"Tyler Shough",NO,"0","0","0","0","0","0","0","0","0","0","0"
"34",5,"Jaxson Dart",NYG,"0","0","0","0","0","0","0","0","0","0","0"
"35",6,"Tyrod Taylor",NYJ,"20.1","17","22","77%","119","3","0","3","13","0","0"
"36",6,"Shedeur Sanders",CLE,"0","0","0","0","0","0","0","0","0","0","0"
"37",6,"Jalen Milroe",SEA,"0","0","0","0","0","0","0","0","0","0","0"
"38",6,"Spencer Rattler",NO,"72.3","130","228","57%","1317","4","5","18","146","0","22"
"39",6,"Kirk Cousins",ATL,"192.3","303","453","67%","3508","18","16","23","0","0","28"
"40",6,"Kenny Pickett",CLE,"26.1","25","42","60%","291","2","1","9","15","1","4"
"41",6,"Jameis Winston",NYG,"143.1","181","296","61%","2121","13","12","25","83","1","24"
"42",6,"Dillon Gabriel",CLE,"0","0","0","0","0","0","0","0","0","0","0"
"43",7,"Mason Rudolph",PIT,"104.8","146","228","64%","1530","9","9","25","106","1","11"
"44",7,"Joe Milton III",DAL,"19.2","22","29","76%","241","1","0","10","16","1","0"
"45",7,"Marcus Mariota",WAS,"45.8","34","44","77%","364","4","0","18","92","1","3"
"46",7,"Mac Jones",SF,"104.1","171","262","65%","1672","8","8","28","92","1","14"
"47",7,"Jake Browning",CIN,"-0.2","0","0","NaN%","0","0","0","2","-2","0","0"
"48",7,"Malik Willis",GB,"51.8","40","54","74%","550","3","0","20","138","1","8"
"49",7,"Aidan O'Connell",LV,"97.5","154","243","63%","1612","8","4","21","30","1","10"
"50",7,"Will Howard",PIT,"0","0","0","0","0","0","0","0","0","0","0"
"51",7,"Sam Howell",MIN,"0.2","5","14","36%","24","0","1","1","2","0","4"
"52",7,"Jimmy Garoppolo",LAR,"20.9","27","41","66%","334","2","1","2","5","0","3"
