"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"1",1,"Bijan Robinson",ATL,"311.2","304","1456","14","72","61","431","1"
"2",1,"Jahmyr Gibbs",DET,"336.9","250","1412","16","63","52","517","4"
"3",1,"Saquon Barkley",PHI,"338.8","345","2005","13","43","33","278","2"
"4",2,"Christian McCaffrey",SF,"40.3","50","202","0","19","15","146","0"
"5",2,"Ashton Jeanty",LV,"0","0","0","0","0","0","0","0"
"6",2,"Derrick Henry",BAL,"326.9","325","1921","16","22","19","193","2"
"7",2,"De'Von Achane",MIA,"260.9","203","907","6","87","78","592","6"
"8",2,"Josh Jacobs",GB,"275.1","301","1329","15","43","36","342","1"
"9",2,"Jonathan Taylor",IND,"235.7","303","1431","11","31","18","136","1"
"10",3,"Bucky Irving",TB,"220.9","207","1122","8","52","47","392","0"
"11",3,"Chase Brown",CIN,"228","229","990","7","65","54","360","4"
"12",3,"Kyren Williams",LAR,"255.1","316","1299","14","40","34","182","2"
"13",3,"Breece Hall",NYJ,"212.4","209","876","5","76","57","483","3"
"14",3,"James Cook",BUF,"250.7","207","1009","16","38","32","258","2"
"15",3,"Kenneth Walker III",SEA,"158.2","153","573","7","53","46","299","1"
"16",3,"Alvin Kamara",NO,"231.3","228","950","6","89","68","543","2"
"17",3,"Omarion Hampton",LAC,"0","0","0","0","0","0","0","0"
"18",4,"Chuba Hubbard",CAR,"220.1","250","1195","10","54","43","171","1"
"19",4,"James Conner",ARI,"230.3","236","1094","8","55","47","414","1"
"20",4,"David Montgomery",DET,"203.7","185","775","12","38","36","341","0"
"21",4,"D'Andre Swift",CHI,"193.5","253","959","6","52","42","386","0"
"22",4,"TreVeyon Henderson",NE,"0","0","0","0","0","0","0","0"
"23",4,"Aaron Jones Sr.",MIN,"216.1","255","1138","5","62","51","408","2"
"24",4,"RJ Harvey",DEN,"0","0","0","0","0","0","0","0"
"25",4,"Tony Pollard",TEN,"180.2","260","1079","5","57","41","238","0"
"26",4,"Isiah Pacheco",KC,"50.9","83","310","1","16","12","79","0"
"27",4,"Joe Mixon",HOU,"222.5","245","1016","11","52","36","309","1"
"28",4,"Kaleb Johnson",PIT,"0","0","0","0","0","0","0","0"
"29",5,"Brian Robinson Jr.",WAS,"149.8","187","799","8","25","20","159","0"
