"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Brock Bowers",LV,"206.7","153","112","1194","5","5","13","0"
"2",1,"Trey McBride",ARI,"194.3","147","111","1146","2","1","2","1"
"3",1,"George Kittle",SF,"197.6","94","78","1106","8","0","0","0"
"4",2,"Sam LaPorta",DET,"144.6","83","60","726","7","0","0","0"
"5",2,"T.J. Hockenson",MIN,"66","62","41","455","0","0","0","0"
"6",2,"Travis Kelce",KC,"146.9","133","97","823","3","1","1","0"
"7",2,"Mark Andrews",BAL,"161.3","69","55","673","11","4","5","0"
"8",2,"David Njoku",CLE,"116.5","97","64","505","5","0","0","0"
"9",2,"Evan Engram",DEN,"66","64","47","365","1","0","0","0"
"10",3,"Tucker Kraft",GB,"138.3","70","50","707","7","3","6","0"
"11",3,"Jake Ferguson",DAL,"74.9","86","59","494","0","0","0","0"
"12",3,"Tyler Warren",IND,"0","0","0","0","0","0","0","0"
"13",3,"Dalton Kincaid",BUF,"78.8","75","44","448","2","0","0","0"
"14",3,"Dallas Goedert",PHI,"82.6","52","42","496","2","0","0","0"
"15",3,"Colston Loveland",CHI,"0","0","0","0","0","0","0","0"
"16",3,"Kyle Pitts Sr.",ATL,"107.7","74","47","602","4","0","0","0"
"17",3,"Hunter Henry",NE,"112.4","97","66","674","2","0","0","0"
"18",3,"Jonnu Smith",PIT,"178.3","111","88","884","8","2","-1","0"
"19",4,"Zach Ertz",WAS,"144.4","91","66","654","7","0","0","0"
"20",4,"Isaiah Likely",BAL,"102.7","58","42","477","6","0","0","0"
"21",4,"Brenton Strange",JAC,"71.1","53","40","411","2","0","0","0"
"22",4,"Mike Gesicki",CIN,"109","83","65","665","2","0","0","0"
"23",4,"Pat Freiermuth",PIT,"135.8","78","65","653","7","0","0","0"
"24",4,"Cade Otton",TB,"111.1","87","59","600","4","1","-4","0"
"25",4,"Chig Okonkwo",TEN,"87.6","70","52","479","2","1","17","0"
"26",4,"Mason Taylor",NYJ,"0","0","0","0","0","0","0","0"
"27",4,"Dalton Schultz",HOU,"91.7","85","53","532","2","0","0","0"
"28",4,"Juwan Johnson",NO,"97.8","66","50","548","3","0","0","0"
"29",4,"Ja'Tavion Sanders",CAR,"56.7","43","33","342","1","0","0","0"
"30",4,"Elijah Arroyo",SEA,"0","0","0","0","0","0","0","0"
"31",5,"Cole Kmet",CHI,"96.9","55","47","474","4","0","0","0"
"32",5,"Noah Gray",KC,"93.3","49","40","437","5","1","-4","0"
"33",5,"Harold Fannin Jr.",CLE,"0","0","0","0","0","0","0","0"
"34",5,"Theo Johnson",NYG,"53.6","43","29","331","1","0","0","0"
"35",5,"Taysom Hill",NO,"91.8","31","23","187","0","39","278","6"
"36",5,"Noah Fant",CIN,"80","64","48","500","1","0","0","0"
"37",5,"Terrance Ferguson",LAR,"0","0","0","0","0","0","0","0"
"38",5,"Darren Waller",MIA,"0","0","0","0","0","0","0","0"
"39",5,"Oronde Gadsden II",LAC,"0","0","0","0","0","0","0","0"
"40",6,"Will Dissly",LAC,"85.1","64","50","481","2","0","0","0"
"41",6,"Ben Sinnott",WAS,"11.3","5","5","28","1","0","0","0"
"42",6,"Tyler Higbee",LAR,"22.6","12","8","66","2","0","0","0"
"43",6,"Tyler Conklin",LAC,"96.4","72","51","449","4","1","0","0"
"44",6,"Dawson Knox",BUF,"48.1","33","22","311","1","0","0","0"
"45",6,"Luke Musgrave",GB,"8","10","7","45","0","0","0","0"
"46",6,"Michael Mayer",LV,"26.1","32","21","156","0","0","0","0"
"47",6,"AJ Barner",SEA,"63.5","38","30","245","4","0","0","0"
"48",6,"Austin Hooper",NE,"86.1","59","45","476","3","0","0","0"
"49",6,"Gunnar Helm",TEN,"0","0","0","0","0","0","0","0"
"50",6,"Luke Schoonmaker",DAL,"43.6","36","27","241","1","0","0","0"
"51",6,"Foster Moreau",NO,"87.3","43","32","413","5","0","0","0"
"52",6,"Tommy Tremble",CAR,"44.9","32","23","234","2","0","0","0"
"53",7,"Cade Stover",HOU,"26.8","22","15","133","1","0","0","0"
