"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Ja'Marr Chase",CIN,"339.5","175","127","1708","17","3","32","0"
"2",1,"Justin Jefferson",MIN,"266","154","103","1533","10","1","3","0"
"3",1,"CeeDee Lamb",DAL,"212.9","152","101","1194","6","14","70","0"
"4",2,"Puka Nacua",LAR,"167.1","106","79","990","3","11","46","1"
"5",2,"Malik Nabers",NYG,"219.1","170","109","1204","7","5","2","0"
"6",2,"Nico Collins",HOU,"176.6","99","68","1006","7","0","0","0"
"7",2,"Amon-Ra St. Brown",DET,"258.7","141","115","1263","12","2","6","0"
"8",2,"Brian Thomas Jr.",JAC,"240.5","133","87","1282","10","6","48","0"
"9",2,"Drake London",ATL,"230.8","158","100","1271","9","1","-3","0"
"10",2,"A.J. Brown",PHI,"183.4","97","67","1079","7","0","0","0"
"11",3,"Ladd McConkey",LAC,"199.9","112","82","1149","7","0","0","0"
"12",3,"Tyreek Hill",MIA,"177.7","123","81","959","6","8","53","0"
"13",3,"Jaxon Smith-Njigba",SEA,"203","137","100","1130","6","5","26","0"
"14",3,"Tee Higgins",CIN,"185.6","109","73","911","10","0","0","0"
"15",3,"Garrett Wilson",NYJ,"201.4","154","101","1104","7","2","5","0"
"16",3,"Davante Adams",LAR,"198.8","141","85","1063","8","0","0","0"
"17",3,"Mike Evans",TB,"203.4","110","74","1004","11","0","0","0"
"18",4,"Terry McLaurin",WAS,"226.8","117","82","1096","13","2","2","0"
"19",4,"Marvin Harrison Jr.",ARI,"165.5","116","62","885","8","0","0","0"
"20",4,"DJ Moore",CHI,"189.1","140","98","966","6","14","75","0"
"21",4,"DK Metcalf",PIT,"158.2","108","66","992","5","0","0","0"
"22",4,"Courtland Sutton",DEN,"199.8","135","81","1081","8","0","0","0"
"23",4,"DeVonta Smith",PHI,"165.4","89","68","833","8","1","1","0"
"24",4,"Zay Flowers",BAL,"172.5","116","74","1059","4","9","56","0"
"25",4,"Jameson Williams",DET,"183.2","91","58","1001","7","11","61","1"
"26",4,"Rashee Rice",KC,"52.9","29","24","288","2","1","1","0"
"27",4,"Xavier Worthy",KC,"157.7","98","59","638","6","20","104","3"
"28",4,"Tetairoa McMillan",CAR,"0","0","0","0","0","0","0","0"
"29",4,"Jaylen Waddle",MIA,"120.6","83","58","744","2","4","12","0"
"30",4,"Calvin Ridley",TEN,"167.2","120","64","1017","4","8","55","1"
"31",5,"George Pickens",DAL,"134.9","103","59","900","3","2","-6","0"
"32",5,"Chris Olave",NO,"60.7","44","32","400","1","1","7","0"
"33",5,"Travis Hunter",JAC,"0","0","0","0","0","0","0","0"
"34",5,"Jerry Jeudy",CLE,"195.9","145","90","1229","4","0","0","0"
"35",5,"Rome Odunze",CHI,"117.9","101","54","734","3","3","15","0"
"36",5,"Jakobi Meyers",LV,"174.5","129","87","1027","4","2","23","0"
"37",5,"Jordan Addison",MIN,"181","99","63","875","9","3","20","1"
"38",5,"Chris Godwin",TB,"112.8","62","50","576","5","1","2","0"
"39",5,"Stefon Diggs",NE,"98.4","64","47","496","3","3","8","1"
"40",5,"Jauan Jennings",SF,"172","113","77","975","6","0","0","0"
"41",5,"Khalil Shakir",BUF,"144.5","100","76","821","4","2","4","0"
"42",5,"Jayden Reed",GB,"169.5","75","55","857","6","20","163","1"
"43",5,"Deebo Samuel Sr.",WAS,"128.1","81","51","670","3","42","136","1"
"44",6,"Ricky Pearsall",SF,"78","46","31","400","3","3","45","0"
"45",6,"Josh Downs",IND,"147.5","107","72","803","5","1","12","0"
"46",6,"Cooper Kupp",SEA,"141.5","100","67","710","6","2","10","0"
"47",6,"Michael Pittman Jr.",IND,"131.3","111","69","808","3","0","0","0"
"48",6,"Emeka Egbuka",TB,"0","0","0","0","0","0","0","0"
